province_id,name
6,KABUPATEN OGAN KOMERING ULU SELATAN
6,KOTA PALEMBANG
6,KOTA PAGAR ALAM 
6,KOTA  LUBUK LINGGAU
6,KOTA  PRABUMULIH
7,KABUPATEN BENGKULU SELATAN
7,KABUPATEN REJANG LEBONG
7,KABUPATEN BENGKULU UTARA
7,KABUPATEN  MUKOMUKO
7,KABUPATEN   SELUMA
7,KABUPATEN   KAUR
7,KABUPATEN LEBONG
7,KABUPATEN KEPAHIANG
7,KOTA BENGKULU
8,KABUPATEN LAMPUNG SELATAN
8,KABUPATEN LAMPUNG TENGAH
8,KABUPATEN LAMPUNG UTARA
8,KABUPATEN LAMPUNG BARAT
8,KABUPATEN TULANG BAWANG
8,KABUPATEN TANGGAMUS
8,KABUPATEN LAMPUNG TIMUR
8,KABUPATEN WAY KANAN
8,KOTA BANDAR LAMPUNG
8,KOTA METRO
9,KABUPATEN  BANGKA
9,KABUPATEN  BELITUNG
9,KABUPATEN  BANGKA SELATAN
9,KABUPATEN  BANGKA TENGAH
9,KABUPATEN BANGKA BARAT
9,KABUPATEN BELITUNG TIMUR
9,KOTA PANGKALPINANG
10,KABUPATEN KEPULAUAN RIAU
10,KABUPATEN KARIMUN
10,KABUPATEN NATUNA
10,KABUPATEN LINGGA
10,KOTA BATAM
10,KOTA TANJUNG PINANG
11,KOTA JAKARTA PUSAT
11,KOTA JAKARTA UTARA
11,KOTA JAKARTA BARAT
11,KOTA JAKARTA SELATAN
11,KOTA JAKARTA TIMUR
11,KABUPATEN KEPULAUAN SERIBU
12,KABUPATEN BOGOR
12,KABUPATEN SUKABUMI
12,KABUPATEN CIANJUR
12,KABUPATEN BANDUNG
12,KABUPATEN GARUT
12,KABUPATEN TASIKMALAYA
12,KABUPATEN CIAMIS
12,KABUPATEN KUNINGAN
12,KABUPATEN CIREBON
12,KABUPATEN MAJALENGKA
12,KABUPATEN SUMEDANG
12,KABUPATEN INDRAMAYU
12,KABUPATEN SUBANG
12,KABUPATEN PURWAKARTA
12,KABUPATEN KARAWANG
12,KABUPATEN BEKASI
12,KOTA BOGOR
12,KOTA SUKABUMI
12,KOTA BANDUNG
12,KOTA CIREBON
12,KOTA BEKASI
12,KOTA DEPOK
12,KOTA CIMAHI
12,KOTA TASIKMALAYA
12,KOTA BANJAR
13,KABUPATEN CILACAP
13,KABUPATEN BANYUMAS
13,KABUPATEN PURBALINGGA
13,KABUPATEN BANJARNEGARA
13,KABUPATEN KEBUMEN
13,KABUPATEN PURWOREJO
13,KABUPATEN WONOSOBO
13,KABUPATEN MAGELANG
13,KABUPATEN BOYOLALI
13,KABUPATEN KLATEN
13,KABUPATEN SUKOHARJO
13,KABUPATEN WONOGIRI
13,KABUPATEN KARANGANYAR
13,KABUPATEN SRAGEN
13,KABUPATEN GROBOGAN
13,KABUPATEN BLORA
13,KABUPATEN REMBANG
13,KABUPATEN PATI
13,KABUPATEN KUDUS
13,KABUPATEN DEMAK
13,KABUPATEN SEMARANG
13,KABUPATEN TEMANGGUNG
13,KABUPATEN KENDAL
13,KABUPATEN BATANG
13,KABUPATEN PEKALONGAN
13,KABUPATEN PEMALANG
13,KABUPATEN TEGAL
13,KABUPATEN BREBES
13,KOTA MAGELANG
13,KOTA SURAKARTA
13,KOTA SALATIGA
13,KOTA SEMARANG
13,KOTA PEKALONGAN
13,KOTA TEGAL
13,KABUPATEN JEPARA
14,KABUPATEN KULONPROGO
14,KABUPATEN BANTUL
14,KABUPATEN GUNUNG KIDUL
14,KABUPATEN SLEMAN
14,KOTA YOGYAKARTA
15,KABUPATEN PACITAN
15,KABUPATEN PONOROGO
15,KABUPATEN TRENGGALEK
15,KABUPATEN TULUNGAGUNG
15,KABUPATEN BLITAR
15,KABUPATEN KEDIRI
15,KABUPATEN MALANG
15,KABUPATEN LUMAJANG
15,KABUPATEN JEMBER
15,KABUPATEN BANYUWANGI
15,KABUPATEN BONDOWOSO
15,KABUPATEN SITUBONDO
15,KABUPATEN PROBOLINGGO
15,KABUPATEN PASURUAN
15,KABUPATEN SIDOARJO
15,KABUPATEN MOJOKERTO
15,KABUPATEN JOMBANG
15,KABUPATEN NGANJUK
15,KABUPATEN MADIUN
15,KABUPATEN MAGETAN
15,KABUPATEN NGAWI
15,KABUPATEN BOJONEGORO
15,KABUPATEN TUBAN
15,KABUPATEN LAMONGAN
15,KABUPATEN GRESIK
15,KABUPATEN BANGKALAN
15,KABUPATEN SAMPANG
15,KABUPATEN PAMEKASAN
15,KABUPATEN SUMENEP
15,KOTA KEDIRI
15,KOTA BLITAR
15,KOTA MALANG
15,KOTA PROBOLINGGO
15,KOTA PASURUAN
15,KOTA MOJOKERTO
15,KOTA MADIUN
15,KOTA SURABAYA
15,KOTA BATU
16,KOTA TANGGERANG
16,KOTA  CILEGON
16,KABUPATEN LEBAK
16,KABUPATEN TANGGERANG
16,KABUPATEN SERANG
16,KOTA TANGGERANG
16,KOTA  CILEGON
16,KABUPATEN PANDEGLANG
17,KABUPATEN JEMBRANA
17,KABUPATEN TABANAN
17,KABUPATEN BADUNG
17,KABUPATEN GIANYAR
17,KABUPATEN KLUNGKUNG
17,KABUPATEN BANGLI
17,KABUPATEN KARANG ASEM
17,KABUPATEN BULELENG
17,KOTA DENPASAR
18,KABUPATEN LOMBOK BARAT
18,KABUPATEN LOMBOK TENGAH
18,KABUPATEN LOMBOK TIMUR
18,KABUPATEN SUMBAWA
18,KABUPATEN DOMPU
18,KABUPATEN  BIMA
18,KABUPATEN SUMBAWA BARAT
18,KOTA MATARAM
18,KOTA  BIMA
19,KABUPATEN KUPANG
19,KABUPATEN TIMOR TENGAH SELATAN
19,KABUPATEN TIMOR TENGAH  UTARA
19,KABUPATEN  B E L U
19,KABUPATEN  ALOR
19,KABUPATEN  FLORES TIMUR
19,KABUPATEN  SIKKA
19,KABUPATEN  ENDE
19,KABUPATEN  NGADA
19,KABUPATEN  MANGGARAI
19,KABUPATEN  SUMBA TIMUR
19,KABUPATEN  SUMBA BARAT
19,KABUPATEN  LEMBATA.
19,KABUPATEN  ROTE NDAO
19,KABUPATEN  MANGGARAI BARAT
19,KOTA KUPANG
20,KABUPATEN SEKADAU
20,KABUPATEN PONTIANAK
20,KABUPATEN SANGGAU
20,KABUPATEN KETAPANG
20,KABUPATEN SINTANG
20,KABUPATEN KAPUAS HULU
20,KABUPATEN BENGKAYANG
20,KABUPATEN LANDAK
20,KABUPATEN MELAWI
20,KOTA PONTIANAK
20,KOTA SINGKAWANG
21,KABUPATEN KOTA WARINGIN BARAT
21,KABUPATEN KOTA WARINGIN TIMUR
21,KABUPATEN KAPUAS
21,KABUPATEN BARITO SELATAN
21,KABUPATEN BARITO UTARA
21,KABUPATEN KATINGAN
21,KABUPATEN SERUYAN
21,KABUPATEN SUKAMARA
21,KABUPATEN LAMANDAU
21,KABUPATEN GUNUNG MAS
21,KABUPATEN PULANG PISAU
21,KABUPATEN  MURUNG RAYA
21,KABUPATEN  BARITO TIMUR
21,KOTA PALANGKARAYA
22,KABUPATEN TANAH LAUT
22,KABUPATEN KOTA BARU
22,KABUPATEN BANJAR
22,KABUPATEN BARITO KUALA
22,KABUPATEN TAPIN
22,KABUPATEN HULU SUNGAI SELATAN
22,KABUPATEN HULU SUNGAI TENGAH
22,KABUPATEN HULU SUNGAI UTARA
22,KABUPATEN TABALONG
22,KABUPATEN TANAH BUMBU
22,KABUPATEN BALANGAN
22,KOTA BANJARMASIN
22,KOTA BANJAR BARU
23,KABUPATEN PASIR
23,KABUPATEN KUTAI KARTANEGARA
23,KABUPATEN BERAU
23,KABUPATEN BULUNGAN
23,KABUPATEN NUNUKAN
23,KABUPATEN MALINAU
23,KABUPATEN KUTAI BARAT
23,KABUPATEN KUTAI TIMUR
23,KABUPATEN PENAJAM PASER UTARA
23,KOTA BALIKPAPAN
23,KOTA SAMARINDA
23,KOTA  TARAKAN
23,KOTA  BONTANG
24,KAB. BOLOANG MONGONDOW
24,KAB. MINAHASA
24,KAB. KEPULAUAN SANGIHE
24,KAB. KEPULAUAN TALAUD
24,KAB. MINAHASA SELATAN
24,KOTA MANADO
24,KOTA BITUNG
24,KOTA TOMOHON
25,KABUPATEN BANGGAI
25,KABUPATEN POSO
25,KABUPATEN DONGGALA
25,KABUPATEN  TOLI TOLI
25,KABUPATEN BANGGAI KEPULAUAN
25,KABUPATEN MOROWALI
25,KABUPATEN  BUOL
25,KABUPATEN PARIGI MOUTONG
25,KABUPATEN TOJO UNA UNA
25,KOTA PALU
26,KABUPATEN SELAYAR
26,KABUPATEN BULUKUMBA
26,KABUPATEN BANTAENG
26,KABUPATEN JENEPONTO
26,KABUPATEN TAKALAR
26,KABUPATEN GOWA
26,KABUPATEN SINJAI
27,KABUPATEN KOLAKA
27,KABUPATEN KENDARI
27,KABUPATEN MUNA
27,KABUPATEN BUTON
27,KABUPATEN KONAWE SELATAN
27,KOTA KENDARI
27,KOTA BAU BAU
27,KABUPATEN KOLAKA TIMUR
27,KABUPATEN BOMBANA
27,KABUPATEN WAKATOBI
28,KABUPATEN GORONTALO
28,KABUPATEN BOALEMO
28,KABUPATEN BONE BOLANGO
28,KABUPATEN POHUWATO
28,KOTA GORONTALO
29,KABUPATEN MALUKU TENGGARA  BARAT
29,KABUPATEN MALUKU TENGGARA
29,KABUPATEN MALUKU TENGAH
29,KABUPATEN  BURU
29,KABUPATEN SERAM BAGIAN BARAT
29,KABUPATEN SERAM BAGIAN TIMUR
29,KABUPATEN KEPULAUAN ARU
29,KOTA AMBON
30,KABUPATEN MALUKU UTARA
30,KABUPATEN HALMAHERA TENGAH
30,KABUPATEN HALMAHERA UTARA
30,KABUPATEN HALMAHERA SELATAN
30,KABUPATEN KEPULAUAN SULA
30,KABUPATEN HALMAHERA TIMUR
30,KOTA TIDORE KEPULAUAN
30,KOTA TERNATE
31,KABUPATEN  KEEROM
31,KABUPATEN  SORONG SELATAN
31,KABUPATEN  RAJA AMPAT
31,KABUPATEN  PEGUNUNGAN BINTANG
31,KABUPATEN YAHUKIMO  
31,KABUPATEN  TOLIKARA
31,KABUPATEN  KAIMANA
31,KABUPATEN  BOVEN DIGUL
31,KABUPATEN  MAPPI
31,KABUPATEN  ASMAT
31,KABUPATEN SUPIORI
31,KABUPATEN  TELUK WONDAMA
31,KOTA JAYAPURA
31,KOTA  SORONG 
31,KABUPATEN  PUNCAK JAYA
31,KABUPATEN  WAROPEN
31,KABUPATEN JAYAPURA
31,KABUPATEN  NABIRE 
31,KABUPATEN  FAK FAK 
31,KABUPATEN  SORONG 
31,KABUPATEN  MANOKWARI
31,KABUPATEN YAPEN WAROPEN
31,KABUPATEN  BIAK NUMFOR
31,KABUPATEN  PANIAI
31,KABUPATEN  MIMIKA
31,KABUPATEN  SARMI
32,KABUPATEN  FAK FAK 
32,KABUPATEN  SORONG 
32,KABUPATEN  MANOKWARI
32,KABUPATEN  SORONG SELATAN
32,KABUPATEN  RAJA AMPAT
32,KABUPATEN  KAIMANA
32,KABUPATEN  TELUK BINTUNI
32,KABUPATEN  TELUK WONDAMA
32,KOTA  SORONG 
